NEA_GrantNumber,NEA_FiscalYear,NEA_Office,NEA_Grantee,NEA_GranteeWebsite,NEA_GranteeAddressLine1,NEA_GranteeAddressLine2,NEA_GranteeCity,NEA_GranteeState,NEA_GranteeZipcode,NEA_GranteeLatitude,NEA_GranteeLongitude
10-3300-7001,2010,Dance,"Boston Ballet, Inc. (aka: Boston Ballet)",www.bostonballet.org,19 Clarendon Street,,Boston,MA,02116-6100,42.344607,-71.072215
10-5400-7002,2010,Presenting,Omaha Performing Arts Society (aka: Omaha Performing Arts),www.omahaperformingarts.org,1200 Douglas Street,,Omaha,NE,68102-1815,41.258632,-95.932005
10-3300-7002,2010,Dance,Pacific Northwest Ballet Association (aka: Pacific Northwest Ballet),www.pnb.org,301 Mercer Street,,Seattle,WA,98109-4600,47.624553,-122.351202
10-5200-7034,2010,Literature,"Sarabande Books, Inc.",www.sarabandebooks.org,"2234 Dundee Road, Suite 200",,Louisville,KY,40205-1845,38.223435,-85.693277
10-3100-7001,2010,Music,Stanford Jazz Workshop (aka: SJW),www.stanfordjazz.org,PO Box 20454,,Stanford,CA,94309-0454,37.428036,-122.171791
10-3300-7003,2010,Dance,"Tulsa Ballet Theatre, Inc. (aka: Tulsa Ballet)",www.tulsaballet.org,1212 East 45th Place South,,Tulsa,OK,74105-4508,36.098325,-95.976792
10-3300-7004,2010,Dance,"Stephen Petronio Dance Company, Inc. (aka: Stephen Petronio Company)",www.stephenpetronio.com,"140 Second Avenue, Suite 504",,New York,NY,10003-8384,40.728965,-73.987357
10-3200-7001,2010,Theater,Chicago Dramatists,www.chicagodramatists.org,1105 W. Chicago Ave,,Chicago,IL,60642-5798,41.896277,-87.655608
10-5200-7035,2010,Literature,Threepenny Review,,P.O. Box 9131,,Berkeley,CA,94709-0131,37.877642,-122.267871
10-3300-7005,2010,Dance,Joffrey Ballet,www.joffrey.org,10 East Randolph Street,,Chicago,IL,60601-3617,41.884544,-87.627559
10-3100-7002,2010,Music,Monterey Jazz Festival,,P.O. Box JAZZ,,Monterey,CA,93942-0191,36.595928,-121.895542
10-5200-7036,2010,Literature,"Provincetown Arts Press, Inc. (aka: Provincetown Arts)",www.provincetownarts.org,650 Commercial Street,,Provincetown,MA,02756-1725,42.060865,-70.165881
10-3100-7003,2010,Music,Monadnock Music,www.monadnockmusic.org,2A Concord Street,,Peterborough,NH,03458-1511,42.877557,-71.94792
10-3200-7002,2010,Theater,"New Harmony Project, Inc. (aka: The Project)",www.newharmonyproject.org,734 N. Park Avenue,,Indianapolis,IN,46202-3431,39.77698,-86.147271
10-3300-7006,2010,Dance,AXIS Dance Company,www.axisdance.org,1428 Alice Street,Suite 200,Oakland,CA,94612-4067,37.802915,-122.266116
10-3300-7007,2010,Dance,San Francisco Ballet Association (aka: San Francisco Ballet),www.sfballet.org,455 Franklin Street,,San Francisco,CA,94102-4438,37.778524,-122.421649
10-4400-7001,2010,Museum,"International Foundation for Art Research, Inc. (aka: IFAR)",,500 Fifth Avenue,Suite 935,New York,NY,10110-0902,40.753555,-73.980847
10-6200-7001,2010,Local Arts Agencies,"Bronx Council on the Arts, Inc. (aka: BCA)",www.bronxarts.org,1738 Hone Avenue,,Bronx,NY,10461-1486,40.84806,-73.854046
10-5500-7001,2010,Folk & Traditional Arts,"Eldridge Street Project, Inc. (aka: Museum at Eldridge Street)",www.eldridgestreet.org,Museum at Eldridge Street,12 Eldridge Street,New York,NY,10002-6204,40.717129,-73.988004
10-3200-7003,2010,Theater,Theater Mu Incorporated (aka: Mu Performing Arts),www.muperformingarts.org,355 Wabasha Street North,Suite 140,St. Paul,MN,55102-1417,44.945356,-93.094174
10-5200-7037,2010,Literature,"BOA Editions, Ltd.",www.boaeditions.org,250 North Goodman Street,Suite 306,Rochester,NY,14607-1198,43.158361,-77.585522
10-5200-7038,2010,Literature,"Alice James Poetry Cooperative, Inc. (aka: Alice James Books)",www.alicejamesbooks.org,238 Main Street,,Farmington,ME,04938-1911,44.681993,-70.157143
10-5400-7003,2010,Presenting,Circuit Network,www.circuitnetwork.com,"499 Alabama Street, #203",,San Francisco,CA,94110-1377,37.763057,-122.412154
10-3100-7004,2010,Music,"Columbus Symphony Orchestra, Inc. (aka: CSO)",,55 East State Street,,Columbus,OH,43215-4203,39.960393,-82.998557
10-3100-7005,2010,Music,New Music USA Inc,www.amc.net,"90 John St, 312",,New York,NY,10038-3243,40.708194,-74.006486
10-5200-7039,2010,Literature,American Poetry Review,www.aprweb.org,The University of the Arts,"320 S. Broad St.,Hamilton #313",Philadelphia,PA,19102-4901,39.95108,-75.165913
10-4400-7002,2010,Museum,Asia Society,www.asiasociety.org,725 Park Avenue,,New York,NY,10021-5088,40.769938,-73.964496
10-3200-7004,2010,Theater,"Shotgun Players, Inc.",www.shotgunplayers.org,1901 Ashby Avenue,,Berkeley,CA,94703-2505,37.854319,-122.270919
10-3600-7001,2010,Opera,Tacoma Opera Association (aka: Tacoma Opera),www.tacomaopera.com,"1119 Pacific Ave., Suite 405",,Tacoma,WA,98402-4421,47.253138,-122.43853
10-5400-7004,2010,Presenting,"Cedar Cultural Center, Inc. (aka: The Cedar)",www.thecedar.org,416 Cedar Ave S,,Minneapolis,MN,55454-1033,44.969761,-93.247284
10-3600-7002,2010,Opera,"Des Moines Metro Opera, Inc. (aka: DMMO)",desmoinesmetroopera.org,106 West Boston Ave,,Indianola,IA,50125-1836,41.362388,-93.56117
10-3300-7008,2010,Dance,Koresh Dance Company,www.koreshdance.org,2020 Chestnut Street,,Philadelphia,PA,19103-4492,39.952098,-75.173988
10-5500-7002,2010,Folk & Traditional Arts,Kulu Mele African American Dance Ensemble (aka: Kulu Mele African Dance and Drum Ensemble),,6757 Greene Street,Suite 320,Philadelphia,PA,19119-3508,40.045002,-75.193679
10-5200-7045,2010,Literature,Antioch College Continuation Corporation,review.antioch.edu,One Morgan Place,,Yellow Springs,OH,45387-1683,39.798135,-83.890059
10-3100-7006,2010,Music,Mills College,www.mills.edu,5000 MacArthur Boulevard,,Oakland,CA,94613-1301,37.782639,-122.18789
10-3100-7007,2010,Music,Youth Choral Theater of Chicago,www.youthchoraltheater.org,"708 Church Street, Suite 203",,Evanston,IL,60201-3875,42.048298,-87.680982
10-3400-7001,2010,Media Arts,African Film Festival (aka: New York African Film Festival),www.africanfilmny.org,154 West 18th Street,Suite 2A,New York,NY,10011-5437,40.740485,-73.996563
10-3600-7003,2010,Opera,Nashville Opera Association (aka: Nashville Opera),www.nashvilleopera.org,Noah Liff Opera Center,3622 Redmon Street,Nashville,TN,37209-4827,36.144889,-86.875713
10-3100-7008,2010,Music,VocalEssence,www.vocalessence.org,1900 Nicollet Avenue,,Minneapolis,MN,55403-3746,44.963846,-93.277842
10-5400-7005,2010,Presenting,"Dance Theatre Etcetera, Inc. (aka: DTE)",www.dtetc.org,480 Van Brunt Street,Suite 203,Brooklyn,NY,11231-1014,40.674498,-74.016265
10-3300-7009,2010,Dance,STEPOLOGY,www.stepology.com,P. O. Box 420889,,San Francisco,CA,94142-0889,37.766752,-122.410576
10-3300-7010,2010,Dance,"Movement Research, Inc.",www.movementresearch.org,55 Avenue C,,New York,NY,10009-6855,40.722399,-73.980085
10-3300-7011,2010,Dance,"Miami City Ballet, Inc. (aka: N/A)",www.miamicityballet.org,2200 Liberty Avenue,,Miami Beach,FL,33139-1641,25.798295,-80.129186
10-5400-7006,2010,Presenting,Spoleto Festival USA,www.spoletousa.org,14 George Street,,Charleston,SC,29401-1524,32.785487,-79.932501
10-5400-7007,2010,Presenting,AMP Concerts,www.ampconcerts.org,1013 Vassar Dr NE,,Albuquerque,NM,87106-2630,35.091437,-106.614245
10-3100-7009,2010,Music,Kuumbwa Jazz Society (aka: Kuumbwa Jazz),www.kuumbwajazz.org,"320 Cedar Street, Suite 2",,Santa Cruz,CA,95060-4303,36.969588,-122.026363
10-3200-7005,2010,Theater,"id Theatre, Inc. (aka: id Theater)",www.idtheater.org,43 E 8th Street,,Brooklyn,NY,11218-2618,40.649107,-73.973069
10-3200-7006,2010,Theater,"Group I Acting Company, Inc. (aka: The Acting Company)",www.theactingcompany.org,PO Box 898,,New York,NY,10108-0898,40.757335,-73.990512
10-3300-7012,2010,Dance,"Carolina Ballet, Inc. (aka: Carolina Ballet)",,3401-131 Atlantic Avenue,,Raleigh,NC,27604-1672,35.820664,-78.586086
10-4100-7001,2010,Visual Arts,Project X Foundation for Art and Criticism (aka: X-TRA),http://www.x-traonline.org,PO Box 41-437,,Los Angeles,CA,90041-0437,34.13656,-118.206089
10-3200-7007,2010,Theater,American Conservatory Theatre Foundation (aka: American Conservatory Theater (A.C.T.)),www.act-sf.org,"30 Grant Avenue, 6th Floor",,San Francisco,CA,94108-5834,37.787326,-122.404945
10-5500-7003,2010,Folk & Traditional Arts,"Qi Shu Fang's Peking Opera Association, Inc. (aka: Qi Shu Fang Peking Opera Company)",www.qishufang.com/,80-31 88th Road,,Woodhaven,NY,11421-2423,40.692772,-73.854913
10-7200-7001,2010,Artists Communities,"Skowhegan School of Painting and Sculpture, Inc. (aka: Skowhegan)",www.skowheganart.org,39 Art School Road,,Madison,ME,04950-3353,44.818351,-69.7483
10-3100-7010,2010,Music,"Yellow Barn, Inc. (aka: Yellow Barn)",www.yellowbarn.org,63 Main St,,Putney,VT,05346-8318,42.969967,-72.522392
10-3200-7008,2010,Theater,"Manhattan Theatre Club, Inc. (aka: MTC)",www.mtc-nyc.org,"311 West 43rd St, 8th Floor",,New York,NY,10036-6143,40.758147,-73.989818
10-3100-7011,2010,Music,"Young Concert Artists, Inc.",www.yca.org,250 W. 57th Street,Suite 1222,New York,NY,10107-1218,40.766413,-73.982205
10-3300-7013,2010,Dance,"Yard, Inc. (aka: The Yard)",www.dancetheyard.org,PO Box 405,1 The Yard off Middle Road,Chilmark,MA,02535-0405,41.359818,-70.733503
10-3200-7009,2010,Theater,"PlayPenn, Inc.",www.playpenn.org,220 W. Evergreen Ave. #D2,,Philadelphia,PA,19118-3856,40.073622,-75.210381
10-3200-7010,2010,Theater,Unicorn Theatre,www.unicorntheatre.org,3828 Main Street,,Kansas City,MO,64111-1915,39.057818,-94.586052
10-5200-7052,2010,Literature,"Four Way Books, Inc.",www.fourwaybooks.com,11 Jay St.,4th Floor,New York,NY,10013-2847,40.718003,-74.009602
10-4400-7003,2010,Museum,Boise Art Museum Incorporated (aka: Boise Art Museum),www.boiseartmuseum.org,670 Julia Davis Drive,,Boise,ID,83702-7646,43.609713,-116.206995
10-7200-7002,2010,Artists Communities,18th Street Arts Complex (aka: 18th Street Arts Center),www.18thstreet.org,1639 18th Street,,Santa Monica,CA,90404-3807,34.023447,-118.477571
10-3300-7014,2010,Dance,"Spanish Dance Arts Company, Inc. (aka: Flamenco Vivo Carlota Santana)",www.flamenco-vivo.org,4 West 43rd Street,Room 608,New York,NY,10036-7408,40.754354,-73.980902
10-3100-7012,2010,Music,"Music at Angel Fire, Inc. (aka: Music from Angel Fire)",www.musicfromangelfire.org,P.O. Box 502,,Angel Fire,NM,87710-0502,36.398888,-105.287796
10-3100-7013,2010,Music,New School University,www.newschool.edu/concerts,66 W. 12th Street,,New York,NY,10011-8603,40.735585,-73.996792
10-3300-7015,2010,Dance,Ballet Memphis Corporation (aka: Ballet Memphis),www.balletmemphis.org,7950 Trinity Road,,Memphis,TN,38018-6297,35.142218,-89.799276
10-5500-7004,2010,Folk & Traditional Arts,Maine Arts Commission,,193 State Street,25 State House Station,Augusta,ME,04333-0025,44.308117,-69.780594
10-5500-7005,2010,Folk & Traditional Arts,Northwest Heritage Resources,www.northwestheritageresources.org,3505 NE 187th St.,,Lake Forest Park,WA,98155-2733,47.7641,-122.291635
10-3600-7004,2010,Opera,Santa Fe Opera,,Post Office Box 2408,,Santa Fe,NM,87504-2408,35.69052,-105.937928
10-5200-7054,2010,Literature,"One Story, Incorporated (aka: One Story)",,"232 3rd Street, #A108",,Brooklyn,NY,11215-2714,40.674953,-73.987786
10-3600-7005,2010,Opera,"Boston Lyric Opera Company, Inc. (aka: Boston Lyric Opera)",www.blo.org,11 Avenue de Lafayette,,Boston,MA,02111-1736,42.353107,-71.060633
10-3400-7002,2010,Media Arts,"Berks Filmmakers, Inc.",www.berksfilmmakers.org,P.O. Box 6160,,Reading,PA,19610-0160,40.338674,-75.974481
10-3200-7012,2010,Theater,Denver Center for the Performing Arts (aka: Denver Center Theatre),www.denvercenter.org,1101 13th Street,,Denver,CO,80204-5319,39.744642,-104.998594
10-3100-7014,2010,Music,"Borough of Manhattan Community College Performing Arts Center, Inc. (aka: BMCC Tribeca Performing Arts Center)",www.tribecapac.org,199 Chambers Street,Room #S115K,New York,NY,10007-1044,40.716725,-74.011854
10-3200-7013,2010,Theater,"13 Playwrights, Inc. (aka: 13P)",13p.org,195 Willoughby Ave. #402,,Brooklyn,NY,11205-3831,40.692049,-73.964174
10-3100-7015,2010,Music,Association of California Symphony Orchestras (aka: ACSO),www.acso.org,"2755 Cottage Way, Suite 3",,Sacramento,CA,95825-1221,38.603422,-121.398536
10-5200-7055,2010,Literature,"Rain Taxi, Inc.",www.raintaxi.com,P.O. Box 3840,,Minneapolis,MN,55403-0000,44.969889,-93.28104
10-4100-7002,2010,Visual Arts,"Artpace, Inc. (aka: Artpace San Antonio)",www.artpace.org,445 North Main Avenue,,San Antonio,TX,78205-1441,29.429504,-98.49395
10-3200-7014,2010,Theater,"Playwrights Horizons, Inc. (aka: Playwrights Horizons)",www.playwrightshorizons.org,416 West 42nd Street,,New York,NY,10036-6809,40.758694,-73.99332
10-3400-7003,2010,Media Arts,National Film Preservation Foundation (aka: NFPF),www.filmpreservation.org,"870 Market Street, Suite 1113",,San Francisco,CA,94102-2920,37.784914,-122.406939
10-3200-7015,2010,Theater,Company of Fools,www.companyoffools.org,Post Office Box 329,,Hailey,ID,83333-0329,43.518439,-114.305278
10-3600-7006,2010,Opera,Merola Opera Program,www.merola.org,301 Van Ness Avenue,,San Francisco,CA,94102-4509,37.778273,-122.419992
10-7200-7003,2010,Artists Communities,Bemis Center for Contemporary Arts,www.bemiscenter.org,724 S 12th St,,Omaha,NE,68102-3202,41.253058,-95.93194
10-3300-7016,2010,Dance,Dance Saint Louis (aka: Dance St. Louis),,3547 Olive Street,#301,St. Louis,MO,63103-1014,38.637634,-90.230967
10-3400-7004,2010,Media Arts,San Francisco Cinematheque,www.sfcinematheque.org,145 Ninth Street,,San Francisco,CA,94103-2637,37.775598,-122.413906
10-3400-7005,2010,Media Arts,Chicago International Film Festival Inc. Cinema-Chicago (aka: Cinema/Chicago OR Chicago International Film),www.chicagofilmfestival.com,30 E. Adams Street,Suite 800,Chicago,IL,60603-5628,41.879515,-87.626537
10-3300-7017,2010,Dance,"Alvin Ailey Dance Foundation, Inc. (aka: Alvin Ailey American Dance Theater)",www.alvinailey.org,The Joan Weill Center for Danc,e 405 West 55th Street,New York,NY,10019-4402,40.765633,-73.984288
10-3200-7016,2010,Theater,"New Dramatists, Inc. (aka: New Dramatists)",www.newdramatists.org,424 West 44th Street,,New York,NY,10036-5205,40.760074,-73.992529
10-3200-7017,2010,Theater,"Cornerstone Theater Company, Inc. (aka: Cornerstone)",www.cornerstonetheater.org,708 Traction Ave,,Los Angeles,CA,90013-1814,34.045675,-118.236421
10-5200-7056,2010,Literature,"Small Press Distribution, Inc. (aka: SPD)",spdbooks.org,1341 7th Street,,Berkeley,CA,94710-1409,37.878831,-122.300031
10-7200-7004,2010,Artists Communities,"Fine Arts Work Center in Provincetown, Inc. (aka: FAWC)",www.fawc.org,24 Pearl Street,,Provincetown,MA,02657-1504,42.055621,-70.184075
10-2800-7001,2010,Musical Theater,Academy for New Musical Theatre (aka: ANMT),www.anmt.org,5628 Vineland Avenue,,North Hollywood,CA,91601-2028,34.172823,-118.370287
10-3200-7018,2010,Theater,"Civilians, Inc. (aka: The Civilians)",www.thecivilians.org,138 South Oxford Street,Suite 3C,Brooklyn,NY,11217-1694,40.685084,-73.973188
10-3200-7019,2010,Theater,"Theater Labrador, Inc. (aka: New Georges)",www.newgeorges.org,109 W. 27th Street,Ste. 9A,New York,NY,10001-6208,40.745627,-73.991428
10-5500-7006,2010,Folk & Traditional Arts,Community Economic Development Center of Southeastern Mass (aka: CEDC),,1285 Acushnet Avenue,,New Bedford,MA,02746-2020,41.6589,-70.927357
10-2800-7002,2010,Musical Theater,"National Alliance for Musical Theatre, Inc.",www.namt.org,520 Eighth Avenue,Suite 301,New York,NY,10018-6507,40.753503,-73.992495
10-3100-7016,2010,Music,"Amelia Island Chamber Music Festival, Inc (aka: Amelia Island Chamber Music Festival)",www.aicmf.com,"1890 S. 14th Street, Suite 204",,Fernandina Beach,FL,32035-3115,30.643788,-81.455387
10-5200-7057,2010,Literature,"Boston Critic, Inc. (aka: Boston Review)",www.bostonreview.net,"30 Wadsworth Street, E53-416",,Cambridge,MA,02142-1320,42.360956,-71.084276
10-3100-7017,2010,Music,Irving S. Gilmore International Keyboard Festival (aka: The Gilmore),www.thegilmore.org,359 South Kalamazoo Mall,Suite 101,Kalamazoo,MI,49007-4843,42.289196,-85.583101
10-3400-7006,2010,Media Arts,Independent Media Arts Preservation Inc,www.imappreserve.org,c/o Lehman College Library 201,250 Bedford Park Boulevard W,Bronx,NY,10468-1527,40.866785,-73.899193
10-5200-7061,2010,Literature,University of Chicago,http://humanities.uchicago.edu/orgs/review/,5801 S. Ellis Avenue,Research Administration,Chicago,IL,60637-5418,41.78917,-87.601196
10-5400-7008,2010,Presenting,Regents of the University of California at Santa Barbara,www.ucsb.edu,Office of Research,3227 Cheadle Hall,Santa Barbara,CA,93106-2050,34.418229,-119.846211
10-3300-7018,2010,Dance,Dance/USA,www.dancenyc.org,"1111 16th Street, NW",Suite 300,Washington,DC,20036-4809,38.904031,-77.036518
10-3300-7019,2010,Dance,"Keigwin and Company, Inc. (aka: Keigwin + Company)",www.keigwinandcompany.com,246 West 38th Street,8th Floor,New York,NY,10018-6508,40.754074,-73.990141
10-3100-7018,2010,Music,"Marilyn Horne Foundation (aka: Merging 7/10 with Carnegie Hall, NYC)",www.marilynhornefdn.org,250 W. 57th Street,Suite 603,New York,NY,10107-0699,40.766413,-73.982205
10-5400-7009,2010,Presenting,Portland Ovations (aka: Formerly  Portland Concert Association),pcagreatperformances.org,"50 Monument Square, Floor 2",,Portland,ME,04101-4039,43.65709,-70.258924
10-3400-7007,2010,Media Arts,Silent Film Festival (aka: San Francisco Silent Film Festival),www.silentfilm.org,833 Market Street,Suite 812,San Francisco,CA,94103-1828,37.784745,-122.407096
10-2800-7003,2010,Musical Theater,"Goodspeed Opera House Foundation, Inc. (aka: Goodspeed Musicals)",www.goodspeed.org,PO Box A,,East Haddam,CT,06423-0281,41.485478,-72.40318
10-3100-7019,2010,Music,"Maverick Concerts, Inc.",www.maverickconcerts.org,P.O. Box 9,,Woodstock,NY,12498-0009,42.038704,-74.108549
10-5200-7062,2010,Literature,"ZYZZYVA, Inc. (aka: ZYZZYVA)",,P.O. Box 590069,,San Francisco,CA,94159-0069,37.781623,-122.453641
10-3200-7021,2010,Theater,"Irondale Productions, Inc. (aka: Irondale Ensemble Project)",www.irondale.org,85 South Oxford Street,,Brooklyn,NY,11217-1607,40.686982,-73.973555
10-3200-7022,2010,Theater,SU Theatre Corporation (aka: Syracuse Stage),www.syracusestage.org,820 E. Genesee Street,,Syracuse,NY,13210-1508,43.047031,-76.138712
10-3200-7023,2010,Theater,"New 42nd Street, Inc.",www.new42.org; www.newvictory.org,229 West 42nd Street,,New York,NY,10036-7299,40.75645,-73.987879
10-7200-7005,2010,Artists Communities,Djerassi Resident Artists Program,www.djerassi.org,2325 Bear Gulch Road,,Woodside,CA,94062-4405,37.378799,-122.297372
10-5500-7007,2010,Folk & Traditional Arts,"Folkstreams, Inc. (aka: Folkstreams.net)",www.folkstreams.net,11324 Pearlstone Lane,,Delaplane,VA,20144-1722,38.970203,-77.977588
10-3200-7024,2010,Theater,In the Heart of the Beast Puppet and Mask Theatre,www.hobt.org,1500 E. Lake Street,,Minneapolis,MN,55407-1720,44.948376,-93.25363
10-7200-7006,2010,Artists Communities,Virginia Center for the Creative Arts (aka: VCCA),www.vcca.com,154 San Angelo Drive,,Amherst,VA,24521-3257,37.544894,-79.075846
10-3200-7025,2010,Theater,"Clubbed Thumb, Inc. (aka: Clubbed Thumb)",www.clubbedthumb.org,"195 Chrystie Street, #401A",,New York,NY,10002-1240,40.721916,-73.991967
10-3100-7020,2010,Music,San Francisco Contemporary Music Players,www.sfcmp.org,55 New Montgomery Street,Suite 708,San Francisco,CA,94105-3458,37.787874,-122.401039
10-5400-7010,2010,Presenting,Grand Performances,www.grandperformances.org,"350 S. Grand Avenue, Suite A-4",,Los Angeles,CA,90071-3406,34.052345,-118.251719
10-2800-7004,2010,Musical Theater,Village Theatre,www/villagetheatre.org,303 Front Street North,,Issaquah,WA,98027-2917,47.533025,-122.036484
10-5200-7063,2010,Literature,Center for Religious Humanism (aka: Image Journal),imagejournal.org,3307 Third Ave W,,Seattle,WA,98119-1922,47.649696,-122.360903
10-3100-7021,2010,Music,Handel & Haydn Society,handelandhaydn.org,300 Massachusetts Avenue,,Boston,MA,02115-4555,42.343332,-71.085712
10-7200-7007,2010,Artists Communities,"MacDowell Colony, Inc. (aka: The MacDowell Colony)",www.macdowellcolony.org,100 High Street,,Peterborough,NH,03458-2485,42.883593,-71.955556
10-3400-7008,2010,Media Arts,Film Forum,www.filmforum.org,209 West Houston Street,,New York,NY,10014-4837,40.72847,-74.004127
10-3100-7022,2010,Music,Pacific Symphony (aka: Orange County's Pacific Symphony),www.pacificsymphony.org,3631 S. Harbor Blvd.,Suite 100,Santa Ana,CA,93704-8908,33.698775,-117.919414
10-7200-7008,2010,Artists Communities,Kala Institute (aka: Kala Art Institute),,1060 Heinz Avenue,,Berkeley,CA,94710-2719,37.854235,-122.288095
10-3600-7007,2010,Opera,Patrick G. and Shirley W. Ryan Opera Center (aka: Ryan Opera Center),www.lyricopera.org/about/RyanOperaCenter.asp,20 N. Wacker Drive Suite 860,,Chicago,IL,60606-2899,41.882205,-87.637063
10-5500-7008,2010,Folk & Traditional Arts,"Museum of Northern Arizona, Inc. (aka: MNA)",www.musnaz.org,3101 N Fort Valley Road,,Flagstaff,AZ,86001-8348,35.249449,-111.692622
10-5200-7064,2010,Literature,"Narrative Magazine, Inc. (aka: Narrative)",,"2443 Fillmore St, #214",,San Francisco,CA,94115-2224,37.791988,-122.43449
10-3100-7023,2010,Music,"Post-Classical Ensemble, Inc. (aka: PostClassical Ensemble)",www.post-classicalensemble.org,"5104 44th Street, NW",,Washington,DC,20016-4039,38.956104,-77.086252
10-3200-7026,2010,Theater,William Inge Festival Foundation (aka: William Inge Center for the Arts),,PO Box 747,,Independence,KS,67301-0708,37.226701,-95.71807
10-3400-7009,2010,Media Arts,"Electronic Arts Intermix, Inc. (aka: EAI)",www.eai.org,535 West 22nd Street,5th Floor,New York,NY,10011-1119,40.74751,-74.005814
10-3100-7024,2010,Music,Philadelphia Orchestra Association (aka: The Philadelphia Orchestra),,260 South Broad Street,16th Floor,Philadelphia,PA,19102-5002,39.94695,-75.164806
10-3600-7008,2010,Opera,Portland Opera Association Inc. (aka: Portland Opera),www.portlandopera.org,The Hampton Opera Center,211 SE Caruthers Street,Portland,OR,97214-4502,45.515753,-122.642852
10-7200-7009,2010,Artists Communities,Virginia Center for the Creative Arts (aka: VCCA),www.vcca.com,154 San Angelo Drive,,Amherst,VA,24521-3257,37.544894,-79.075846
10-3600-7009,2010,Opera,Lyric Opera of Chicago (aka: Lyric Opera or Lyric),www.lyricopera.org,20 N. Wacker Drive Suite 860,,Chicago,IL,60606-2806,41.882205,-87.637063
10-3300-7020,2010,Dance,Muntu Dance Theatre,www.muntu.com,7127 S Ellis,,Chicago,IL,60619-1319,41.76534,-87.600669
10-3100-7025,2010,Music,Detroit International Jazz Festival Foundation (aka: Detroit Jazz Festival),www.detroitjazzfest.com,19900 Harper Avenue,,Detroit,MI,48225-1759,42.43602,-82.920922
10-3300-7021,2010,Dance,"Evidence, Inc. (aka: Ronald K. Brown/Evidence, A Dance Company)",evidencedance.com,"80 Hanson Place, Suite 605",,Brooklyn,NY,11217-1506,40.685491,-73.974377
10-3300-7022,2010,Dance,"Bates College, President and Trustees of",,"42 Campus Ave., Coram Library",Office for External Grants,Lewiston,ME,04240-0000,44.104524,-70.204538
10-3600-7010,2010,Opera,"Opera for the Young, Inc. (aka: Opera for the Young)",www.operafortheyoung.org,6441 Enterprise Lane,Suite 207,Madison,WI,53719-1163,43.057715,-89.491015
10-5200-7068,2010,Literature,Words Without Borders,www.bard.edu (www.wordswithoutborders.org),P.O. Box 1658,,New York,NY,10276-1658,40.731825,-73.990224
10-5500-7009,2010,Folk & Traditional Arts,Northwest Indian College,www.nwic.edu,2522 Kwina Road,,Bellingham,WA,98226-9278,48.790014,-122.661408
10-5200-7069,2010,Literature,Children's Book Press,childrensbookpress.org,"965 Mission Street, Suite 425",,San Francisco,CA,94103-2961,37.781437,-122.408089
10-4100-7003,2010,Visual Arts,Arts & Services for Disabled (aka: Arts & Services),www.artsandservices.org,3626 E. Pacific Coast Hwy,,Long Beach,CA,90804-2015,33.789841,-118.149447
10-3300-7023,2010,Dance,"Dance Notation Bureau, Inc. (aka: Dance Notation Bureau)",www.dancenotation.org,111 John Street,Room 704,New York,NY,10038-3123,40.707694,-74.005737
10-4400-7004,2010,Museum,Crocker Art Museum Association (aka: Crocker Art Museum),www.crockerartmuseum.org,216 O Street,,Sacramento,CA,95814-5324,38.57753,-121.506224
10-3200-7027,2010,Theater,Writers' Theatre,,376 Park Avenue,,Glencoe,IL,60022-1553,42.133766,-87.760433
10-3300-7024,2010,Dance,Flyaway Productions,www.flyawayproductions.com,1068 Bowdoin Street,,San Francisco,CA,94134-1802,37.722659,-122.409239
10-3100-7026,2010,Music,"Ojai Festivals, Ltd. (aka: Ojai Music Festival)",www.ojaifestival.org,PO Box 185,,Ojai,CA,93024-0185,34.447815,-119.24482
10-3300-7025,2010,Dance,"Big Tree Productions, Inc. (aka: Tere O'Connor Dance)",www.tereoconnordance.org,"42 Horatio Street, #9",,New York,NY,10014-1673,40.738737,-74.004817
10-3300-7026,2010,Dance,"Cincinnati Ballet Company, Inc. (aka: Cincinnati Ballet)",www.cincinnatiballet.com,1555 Central Parkway,,Cincinnati,OH,45214-2863,39.112444,-84.520986
10-3600-7011,2010,Opera,"Opera America (aka: New TIN, wait til ARRA closed to move old CID)",www.operaamerica.org,"330 Seventh Avenue, 18th Floor",,New York,NY,10001-5010,40.747533,-73.993191
10-5400-7011,2010,Presenting,California Presenters,www.calpresenters.org,PO Box 19748,,Sacramento,CA,95819-0748,38.568148,-121.439983
10-3100-7027,2010,Music,Philharmonic Society of Orange County (aka: Philharmonic Society),www.philharmonicsociety.org,2082 Business Center Drive,Suite 100,Irvine,CA,92612-1151,33.678382,-117.856979
10-7200-7010,2010,Artists Communities,Anderson Ranch Arts Foundation (aka: Anderson Ranch Arts Center),,PO Box 5598,,Snowmass Village,CO,81615-5598,39.210913,-106.945207
10-3400-7010,2010,Media Arts,"Indo-American Arts Council, Inc. (aka: IAAC)",iaac.us,"517 E. 87th Street, Suite 1B",,New York,NY,10128-7673,40.776415,-73.946137
10-5500-7010,2010,Folk & Traditional Arts,Washington State Parks and Recreation Commission (aka: Washington State parks),www.parks.wa.gov,PO Box 42650,1111 Israel Rd SW,Olympia,WA,98504-2650,47.037404,-122.895821
10-5200-7070,2010,Literature,"Milkweed Editions, Inc. (aka: Milkweed Editions)",www.milkweed.org,1011 Washington Avenue South,"Open Book, Suite 300",Minneapolis,MN,55415-1246,44.97583,-93.254385
